epoch,train_loss,train_accuracy,model_internal,model,fold,history_file
4,0.4061026384190815,0.9980487804878048,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
5,0.4126654494681009,0.9965853658536584,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
6,0.404558452396858,0.9985365853658535,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
7,0.3987595751227402,0.9995121951219512,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
8,0.4017433223491762,0.9980487804878048,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
9,0.3989568174176099,0.9995121951219512,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
10,0.3999333836974167,0.9990243902439024,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
11,0.3982476275141646,0.9980487804878048,EfficientNet_B0,EfficientNet-B0,10,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/EfficientNet_B0/fold_10/history.csv
1,0.7060254797121374,0.8673170731707317,MobileNetV3_Small,MobileNetV3-Small,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
2,0.440143682724092,0.9951219512195122,MobileNetV3_Small,MobileNetV3-Small,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
